debt_id,category,item,classification,justification,risk,target_version,reopen_condition,implementation_status
DEBT-PED-011,ludic_learning,insignias,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-012,ludic_learning,mentor_virtual,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-013,ludic_learning,mecanicas_de_progreso_ampliadas,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-014,prompts,prompts_contextuales_por_mision,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-015,prompts,prellenado_de_variables,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-016,prompts,registro_ampliado_de_prompts,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-017,competencies,competencias_visibles_en_UI,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-018,competencies,taxonomias_finales_por_publico,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-019,competencies,niveles_de_desempeno,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-020,competencies,rubricas_ampliadas,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-021,competencies,rutas_adaptativas,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-022,guides,guia_docente_completa,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-023,guides,guia_del_facilitador_operacional,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-024,guides,guia_institucional,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-025,guides,guias_diferenciadas_para_cuatro_publicos,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-026,specialized_interfaces,vista_del_facilitador,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-027,specialized_interfaces,dashboard_grupal,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-028,specialized_interfaces,interfaz_investigativa,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
