debt_id,title,priority,status,target_phase,source_section,source_register,primary_authority
DFUX-EVI-005,Estados de evidencia y curaduría,P1,accepted,C3–C4,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-006,Evitar portafolio como carpeta pasiva,P1,deferred,v0.8,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-007,Narrativa de proceso transferible,P2,deferred,v0.8,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-FAC-v0.6-001,Invisibilización parcial de la Vista del Facilitador,P1,accepted,"C3, C4, v0.8",Deuda crítica de la Vista del Facilitador,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-001,Banco canónico de prompts por misión,P1,accepted,C4 y v0.8,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-002,Campos mínimos de uso externo,P1,accepted,C4,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-003,Advertencias antes de copiar prompts,P1,accepted,C4 y v0.8,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-004,Rutas sin herramienta externa,P1,accepted,C3 y v0.8,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-005,Atribución por herramienta,P1,deferred,v0.8,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-006,Checklist docente de uso responsable,P1,deferred,v0.8,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-007,Registrar apoyo externo sin sobrecaptura,P1,accepted,C4,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-HIA-008,Auditar lenguaje sobre IA embebida,P1,accepted,C4 y C9,10. Deuda humano-IA,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-001,Arquitectura local-first verificable,P1,accepted,C4 y v0.8,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-002,Almacenamiento local y recuperación segura,P1,accepted,C4 y v0.8,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-003,Exportación e importación por decisión humana,P1,accepted,C4 y v0.8,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-004,Manejo seguro de referencias externas,P1,accepted,C4,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-005,Sensibilidad de evidencias y enlaces,P1,accepted,C4,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-006,Evitar sincronización automática de enlaces,P1,accepted,C4 y v0.8,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-LF-007,"Advertencias de privacidad, autoría y enlaces",P1,accepted,C4 y v0.8,8. Deuda local-first y seguridad heredada de v0.6,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-001,Misiones configurables sin rigidez,P1,accepted,C3 y v0.8,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-002,Ruta mínima y libertad creativa,P1,accepted,C3,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-003,Variantes escuela superior y universidad,P1,deferred,v0.8,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-004,Matriz misión-evento-herramienta-evidencia-portafolio,P1,accepted,C3–C4,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-005,Estados funcionales de misión,P1,accepted,C3 y v0.8,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-006,"Completitud, calidad, curaduría y transferencia",P2,deferred,v0.8,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-MIS-007,Reinterpretar S1–S9 sin fijar canon,P1,accepted,C3–C4,9. Deuda de misiones y producción,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-TRZ-001,Matriz requisito-documento-origen-deuda,P1,accepted,"C1, C3 y C4",14. Deuda de trazabilidad y gobernanza,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-TRZ-002,Checklist de no regresión documental,P1,accepted,C1-D y C10,14. Deuda de trazabilidad y gobernanza,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-TRZ-003,Trazabilidad longitudinal,P1,accepted,C3–C4,14. Deuda de trazabilidad y gobernanza,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-TRZ-004,Gate humano antes de activar fases,P1,accepted,Todas,14. Deuda de trazabilidad y gobernanza,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-TRZ-005,Definir alcance de MVP técnico,P1,blocked,Gate de v0.8,14. Deuda de trazabilidad y gobernanza,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
