id,cartapacio_raiz,funcion_optima_v1_0_0,productos_canonicos,no_debe_contener,tension_actual,ruta_canonica_o_regla,uso_transitorio_admisible,prioridad,riesgo,recomendacion_sin_ejecucion,decision_humana
RC-011,04_GOBERNANZA_ETICA_Y_RIESGOS,"Gobernanza ética, riesgos, principios de decisión y guardarraíles.",Políticas éticas; marcos de riesgo; registros de riesgo; criterios de consentimiento y responsabilidad.,Decisiones de sesión completas; gates; auditorías; deuda técnica.,README genérico y pendiente de activación pese a la importancia de sus contenidos.,04 para la norma ética y riesgo; 15 evalúa; 18 registra decisiones; 20 da seguimiento a deuda.,Marcos provisionales explícitamente marcados.,P2,alto,"Activar formalmente su función antes de v1.0.0 y definir relaciones normativas con 15, 18 y 20.",pendiente
RC-012,01_FUNDAMENTO_FILOSOFICO,"Fuente superior de principios, eje humanista y matriz de decisión filosófica.",Fundamento filosófico vigente; principios; capas dialógicas; declaraciones institucionales.,Implementación; bitácoras; rúbricas detalladas; deuda; múltiples versiones activas sin deprecación.,Coexistencia de versiones puede confundir cuál es la fuente superior vigente.,01 conserva una versión vigente declarada; versiones sustituidas se preservan históricamente.,Borradores de próxima versión con estado y relación explícita.,P2,alto,Crear una regla de vigencia y deprecación inequívoca antes de v1.0.0.,pendiente
RC-013,02_ARQUITECTURA_CONCEPTUAL,"Arquitectura conceptual del ecosistema, dominios y relaciones no ejecutables.",Modelos conceptuales; mapas de dominio; relaciones entre componentes pedagógicos y creativos.,Arquitectura técnica ejecutable; código; bitácoras; documentos genéricos sin activación.,Deuda funcional confirmada por README genérico.,02 para arquitectura conceptual; 19 o 10 para implementación y despliegue técnico según función.,Reserva estructural hasta definición formal.,P3,medio,Definir función exacta o mantener como reserva justificada; evitar poblarla por conveniencia.,pendiente
RC-014,03_METODOLOGIA_Y_FLUJO_DE_TRABAJO,"Metodologías recurrentes, flujos humanos y protocolos de trabajo no específicos de una sesión.",Métodos; flujos; protocolos reutilizables; prácticas de colaboración.,Planes de una sesión concreta; bitácoras; reglas maestras de cartapacios.,Deuda funcional confirmada por README genérico y posible solapamiento con 00 y 18.,03 para metodología reutilizable; 00 para regla estructural; 18 para ejecución de sesión.,Reserva hasta definir fronteras.,P3,medio,"Definir frontera mediante la pregunta: ¿gobierna estructura, describe método recurrente o registra ejecución?",pendiente
RC-015,08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS,"Productos curriculares completos, trayectorias y programas.",Cursos; programas; secuencias; trayectorias; mapas curriculares.,Competencias fuente; plantillas vacías; bitácoras; investigación.,README genérico pendiente de activación.,08 para productos curriculares; 05 provee competencias; 07 provee plantillas.,Reserva estructural hasta activación.,P3,medio,Activar solo cuando exista producto curricular real y enlazar fuentes de 05 y 07.,pendiente
RC-016,09_IA_AGENTES_Y_COPILOTOS,"Políticas, perfiles, comportamiento y gobernanza de agentes y copilotos.",Políticas de uso; perfiles de agente; contratos de comportamiento; guardarraíles; prompts reutilizables gobernados.,Prompts efímeros de sesión; bitácoras; implementación de código.,"Posible dispersión entre raíz prompts, 18 y 09.",09 para políticas y prompts reutilizables; 18 para prompts de continuidad o sesión.,Prompts experimentales con estado explícito.,P2,alto,"Definir antes de v1.0.0 una taxonomía: política, plantilla reutilizable, prompt operativo y prompt histórico.",pendiente
RC-017,10_REPOSITORIOS_Y_FLUJO_TECNICO,"Gobernanza de repositorio, Git/GitHub, build, testing técnico y automatización documental.",Flujos Git; contribución; scripts documentados; políticas de ramas; build/test.,Código de producto; auditorías documentales; bitácoras generales.,README genérico y mezcla potencial entre guía técnica y scripts.,10 para flujo técnico documentado; scripts ejecutables permanecen en scripts o subruta técnica definida.,Reserva y documentación técnica controlada.,P3,medio,"Separar norma técnica, script y evidencia de ejecución mediante referencias.",pendiente
RC-018,11_MULTIMODALIDAD_Y_PUBLICACION,"Reglas y productos para publicación multimodal, formatos y distribución.",Guías de publicación; formatos; accesibilidad multimedia; criterios de exportación.,Implementación; archivos finales pesados; investigación; bitácoras.,README genérico pendiente de activación.,11 para normas y modelos de publicación; 21 para guía humana; 19 para despliegue.,Reserva estructural.,P3,bajo,Activar cuando v0.9.0 prepare marketplace/publicación; no antes por relleno.,pendiente
RC-019,12_DISENO_INSTRUCCIONAL_UNIVERSAL,"Diseño instruccional, accesibilidad y adaptación universal.",Principios DIU; patrones de accesibilidad; guías de adaptación; criterios pedagógicos.,Cursos completos; competencias fuente; evidencia de validación.,README genérico pendiente de activación.,12 para diseño instruccional; 08 para cursos; 15 para validación.,Reserva hasta activación.,P3,medio,Definir la frontera con 05 y 08 antes de poblarlo.,pendiente
RC-020,14_COMUNIDAD_TRANSFERENCIA_Y_ESCALAMIENTO,"Transferencia institucional, comunidad, adopción y escalamiento.",Planes de adopción; modelos de transferencia; comunidad de práctica; estrategias de escalamiento.,Transferencias simétricas de sesión; bitácoras; wiki de usuario.,README genérico pendiente de activación y posible confusión con transferencias de continuidad en 18.,14 para transferencia institucional; 18 para transferencia simétrica entre sesiones.,Reserva hasta etapa de escalamiento.,P3,medio,Nombrar explícitamente la diferencia entre transferencia institucional y transferencia de sesión.,pendiente
RC-021,17_INTERNACIONALIZACION_LOCALIZACION,"Idiomas, localización cultural y adaptación regional.",Políticas de idioma; glosarios localizados; criterios culturales; paquetes de localización.,Glosario operativo fuente; traducciones sin trazabilidad; wiki duplicada.,README genérico pendiente de activación.,17 para localización; 05 conserva conceptos comunes; 21 publica versiones humanas.,Reserva hasta v0.9.0 o preparación de publicación.,P3,medio,"Usar referencias a conceptos canónicos y registrar idioma, región, versión fuente y fecha.",pendiente
RC-022,19_IMPLEMENTACION_Y_DESPLIEGUE,"Planes, arquitectura ejecutable, despliegue y operación de implementación.",Planes de implementación; arquitectura ejecutable; despliegue; operación; entornos.,Fundamentos conceptuales; gates; deuda primaria; código fuente.,README genérico y la fase de implementación incremental todavía no está abierta por este PR.,19 para documentación de implementación/despliegue cuando el gate correspondiente lo autorice.,Reserva estructural; no activación por anticipación.,P3,alto,Mantener cerrado hasta gate específico; su preparación no abre v0.8.0.,pendiente
RC-023,06_PASTILLAS_MODULARES,"Módulos pedagógicos o creativos pequeños, reutilizables y componibles.",Pastillas; microactividades; módulos breves; piezas reusables.,Cursos completos; plantillas genéricas; documentos rectores.,README genérico pendiente de activación.,06 para contenido modular; 08 para ensamblaje curricular; 07 para plantilla.,Reserva hasta existir módulos reales.,P3,bajo,"Activar únicamente con criterios de granularidad, reutilización y metadatos.",pendiente
