package,version,scope,resolved,integrity_present,license,has_install_script,deprecated
@rolldown/binding-linux-s390x-gnu,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-s390x-gnu/-/binding-linux-s390x-gnu-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-x64-gnu,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-x64-gnu/-/binding-linux-x64-gnu-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-x64-musl,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-x64-musl/-/binding-linux-x64-musl-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-openharmony-arm64,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-openharmony-arm64/-/binding-openharmony-arm64-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-wasm32-wasi,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-wasm32-wasi/-/binding-wasm32-wasi-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-win32-arm64-msvc,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-win32-arm64-msvc/-/binding-win32-arm64-msvc-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-win32-x64-msvc,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-win32-x64-msvc/-/binding-win32-x64-msvc-1.1.5.tgz,true,MIT,false,false
@rolldown/pluginutils,1.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/pluginutils/-/pluginutils-1.0.1.tgz,true,NOT_RECORDED,false,false
@standard-schema/spec,1.1.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@standard-schema/spec/-/spec-1.1.0.tgz,true,NOT_RECORDED,false,false
@testing-library/dom,10.4.1,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@testing-library/dom/-/dom-10.4.1.tgz,true,MIT,false,false
@testing-library/react,16.3.2,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@testing-library/react/-/react-16.3.2.tgz,true,MIT,false,false
@testing-library/user-event,14.6.1,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@testing-library/user-event/-/user-event-14.6.1.tgz,true,MIT,false,false
@tybys/wasm-util,0.10.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@tybys/wasm-util/-/wasm-util-0.10.3.tgz,true,NOT_RECORDED,false,false
@types/aria-query,5.0.4,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@types/aria-query/-/aria-query-5.0.4.tgz,true,MIT,false,false
@types/chai,5.2.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@types/chai/-/chai-5.2.3.tgz,true,MIT,false,false
@types/deep-eql,4.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@types/deep-eql/-/deep-eql-4.0.2.tgz,true,MIT,false,false
@types/estree,1.0.9,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@types/estree/-/estree-1.0.9.tgz,true,NOT_RECORDED,false,false
@types/node,26.1.1,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@types/node/-/node-26.1.1.tgz,true,MIT,false,false
@types/react,19.2.17,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@types/react/-/react-19.2.17.tgz,true,MIT,false,false
@types/react-dom,19.2.3,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@types/react-dom/-/react-dom-19.2.3.tgz,true,MIT,false,false
@typescript/typescript-aix-ppc64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-aix-ppc64/-/typescript-aix-ppc64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-darwin-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-darwin-arm64/-/typescript-darwin-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-darwin-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-darwin-x64/-/typescript-darwin-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-freebsd-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-freebsd-arm64/-/typescript-freebsd-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-freebsd-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-freebsd-x64/-/typescript-freebsd-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-arm,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-arm/-/typescript-linux-arm-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-arm64/-/typescript-linux-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-loong64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-loong64/-/typescript-linux-loong64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-mips64el,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-mips64el/-/typescript-linux-mips64el-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-ppc64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-ppc64/-/typescript-linux-ppc64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-riscv64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-riscv64/-/typescript-linux-riscv64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-s390x,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-s390x/-/typescript-linux-s390x-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-linux-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-linux-x64/-/typescript-linux-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-netbsd-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-netbsd-arm64/-/typescript-netbsd-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-netbsd-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-netbsd-x64/-/typescript-netbsd-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-openbsd-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-openbsd-arm64/-/typescript-openbsd-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-openbsd-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-openbsd-x64/-/typescript-openbsd-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-sunos-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-sunos-x64/-/typescript-sunos-x64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-win32-arm64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-win32-arm64/-/typescript-win32-arm64-7.0.2.tgz,true,Apache-2.0,false,false
@typescript/typescript-win32-x64,7.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@typescript/typescript-win32-x64/-/typescript-win32-x64-7.0.2.tgz,true,Apache-2.0,false,false
@vitejs/plugin-react,6.0.3,DIRECT_DEVELOPMENT,https://registry.npmjs.org/@vitejs/plugin-react/-/plugin-react-6.0.3.tgz,true,MIT,false,false
@vitest/expect,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/expect/-/expect-4.1.10.tgz,true,MIT,false,false
@vitest/mocker,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/mocker/-/mocker-4.1.10.tgz,true,NOT_RECORDED,false,false
@vitest/pretty-format,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/pretty-format/-/pretty-format-4.1.10.tgz,true,MIT,false,false
@vitest/runner,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/runner/-/runner-4.1.10.tgz,true,MIT,false,false
@vitest/snapshot,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/snapshot/-/snapshot-4.1.10.tgz,true,MIT,false,false
@vitest/spy,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/spy/-/spy-4.1.10.tgz,true,MIT,false,false
@vitest/utils,4.1.10,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@vitest/utils/-/utils-4.1.10.tgz,true,MIT,false,false
ajv,8.20.0,DIRECT_DEVELOPMENT,https://registry.npmjs.org/ajv/-/ajv-8.20.0.tgz,true,MIT,false,false
ajv-formats,3.0.1,DIRECT_DEVELOPMENT,https://registry.npmjs.org/ajv-formats/-/ajv-formats-3.0.1.tgz,true,MIT,false,false
ansi-regex,5.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz,true,MIT,false,false
ansi-styles,5.2.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/ansi-styles/-/ansi-styles-5.2.0.tgz,true,MIT,false,false
aria-query,5.3.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/aria-query/-/aria-query-5.3.0.tgz,true,Apache-2.0,false,false
assertion-error,2.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/assertion-error/-/assertion-error-2.0.1.tgz,true,MIT,false,false
bidi-js,1.0.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/bidi-js/-/bidi-js-1.0.3.tgz,true,MIT,false,false
chai,6.2.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/chai/-/chai-6.2.2.tgz,true,MIT,false,false
convert-source-map,2.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz,true,MIT,false,false
css-tree,3.2.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/css-tree/-/css-tree-3.2.1.tgz,true,MIT,false,false
csstype,3.2.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/csstype/-/csstype-3.2.3.tgz,true,MIT,false,false
data-urls,7.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/data-urls/-/data-urls-7.0.0.tgz,true,MIT,false,false
decimal.js,10.6.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/decimal.js/-/decimal.js-10.6.0.tgz,true,MIT,false,false
dequal,2.0.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/dequal/-/dequal-2.0.3.tgz,true,MIT,false,false
detect-libc,2.1.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/detect-libc/-/detect-libc-2.1.2.tgz,true,Apache-2.0,false,false
dom-accessibility-api,0.5.16,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/dom-accessibility-api/-/dom-accessibility-api-0.5.16.tgz,true,MIT,false,false
entities,8.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/entities/-/entities-8.0.0.tgz,true,BSD-2-Clause,false,false
es-module-lexer,2.3.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/es-module-lexer/-/es-module-lexer-2.3.1.tgz,true,MIT,false,false
estree-walker,3.0.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/estree-walker/-/estree-walker-3.0.3.tgz,true,MIT,false,false
expect-type,1.4.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/expect-type/-/expect-type-1.4.0.tgz,true,Apache-2.0,false,false
fast-deep-equal,3.1.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/fast-deep-equal/-/fast-deep-equal-3.1.3.tgz,true,MIT,false,false
fast-uri,3.1.4,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/fast-uri/-/fast-uri-3.1.4.tgz,true,BSD-3-Clause,false,false
fdir,6.5.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/fdir/-/fdir-6.5.0.tgz,true,NOT_RECORDED,false,false
fsevents,2.3.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/fsevents/-/fsevents-2.3.3.tgz,true,MIT,true,false
html-encoding-sniffer,6.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/html-encoding-sniffer/-/html-encoding-sniffer-6.0.0.tgz,true,MIT,false,false
is-potential-custom-element-name,1.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/is-potential-custom-element-name/-/is-potential-custom-element-name-1.0.1.tgz,true,MIT,false,false
js-tokens,4.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/js-tokens/-/js-tokens-4.0.0.tgz,true,MIT,false,false
jsdom,29.1.1,DIRECT_DEVELOPMENT,https://registry.npmjs.org/jsdom/-/jsdom-29.1.1.tgz,true,MIT,false,false
json-schema-traverse,1.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/json-schema-traverse/-/json-schema-traverse-1.0.0.tgz,true,NOT_RECORDED,false,false
lightningcss,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss/-/lightningcss-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-android-arm64,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-android-arm64/-/lightningcss-android-arm64-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-darwin-arm64,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-darwin-arm64/-/lightningcss-darwin-arm64-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-darwin-x64,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-darwin-x64/-/lightningcss-darwin-x64-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-freebsd-x64,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-freebsd-x64/-/lightningcss-freebsd-x64-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-linux-arm-gnueabihf,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-linux-arm-gnueabihf/-/lightningcss-linux-arm-gnueabihf-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-linux-arm64-gnu,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-linux-arm64-gnu/-/lightningcss-linux-arm64-gnu-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-linux-arm64-musl,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-linux-arm64-musl/-/lightningcss-linux-arm64-musl-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-linux-x64-gnu,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-linux-x64-gnu/-/lightningcss-linux-x64-gnu-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-linux-x64-musl,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-linux-x64-musl/-/lightningcss-linux-x64-musl-1.32.0.tgz,true,NOT_RECORDED,false,false
lightningcss-win32-arm64-msvc,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-win32-arm64-msvc/-/lightningcss-win32-arm64-msvc-1.32.0.tgz,true,MPL-2.0,false,false
lightningcss-win32-x64-msvc,1.32.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lightningcss-win32-x64-msvc/-/lightningcss-win32-x64-msvc-1.32.0.tgz,true,MPL-2.0,false,false
lru-cache,11.5.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lru-cache/-/lru-cache-11.5.2.tgz,true,BlueOak-1.0.0,false,false
lz-string,1.5.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/lz-string/-/lz-string-1.5.0.tgz,true,MIT,false,false
magic-string,0.30.21,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/magic-string/-/magic-string-0.30.21.tgz,true,NOT_RECORDED,false,false
mdn-data,2.27.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/mdn-data/-/mdn-data-2.27.1.tgz,true,CC0-1.0,false,false
nanoid,3.3.16,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/nanoid/-/nanoid-3.3.16.tgz,true,MIT,false,false
obug,2.1.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/obug/-/obug-2.1.3.tgz,true,MIT,false,false
parse5,8.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/parse5/-/parse5-8.0.1.tgz,true,MIT,false,false
pathe,2.0.3,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/pathe/-/pathe-2.0.3.tgz,true,NOT_RECORDED,false,false
picocolors,1.1.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/picocolors/-/picocolors-1.1.1.tgz,true,ISC,false,false
picomatch,4.0.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/picomatch/-/picomatch-4.0.5.tgz,true,NOT_RECORDED,false,false
postcss,8.5.19,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/postcss/-/postcss-8.5.19.tgz,true,MIT,false,false
pretty-format,27.5.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/pretty-format/-/pretty-format-27.5.1.tgz,true,MIT,false,false
punycode,2.3.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/punycode/-/punycode-2.3.1.tgz,true,MIT,false,false
react,19.2.7,DIRECT_PRODUCTION,https://registry.npmjs.org/react/-/react-19.2.7.tgz,true,MIT,false,false
react-dom,19.2.7,DIRECT_PRODUCTION,https://registry.npmjs.org/react-dom/-/react-dom-19.2.7.tgz,true,MIT,false,false
react-is,17.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/react-is/-/react-is-17.0.2.tgz,true,MIT,false,false
require-from-string,2.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/require-from-string/-/require-from-string-2.0.2.tgz,true,MIT,false,false
rolldown,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/rolldown/-/rolldown-1.1.5.tgz,true,MIT,false,false
saxes,6.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/saxes/-/saxes-6.0.0.tgz,true,ISC,false,false
scheduler,0.27.0,TRANSITIVE_PRODUCTION,https://registry.npmjs.org/scheduler/-/scheduler-0.27.0.tgz,true,MIT,false,false
siginfo,2.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/siginfo/-/siginfo-2.0.0.tgz,true,ISC,false,false
source-map-js,1.2.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/source-map-js/-/source-map-js-1.2.1.tgz,true,BSD-3-Clause,false,false
stackback,0.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/stackback/-/stackback-0.0.2.tgz,true,MIT,false,false
std-env,4.2.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/std-env/-/std-env-4.2.0.tgz,true,MIT,false,false
symbol-tree,3.2.4,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/symbol-tree/-/symbol-tree-3.2.4.tgz,true,MIT,false,false
tinybench,2.9.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tinybench/-/tinybench-2.9.0.tgz,true,MIT,false,false
tinyexec,1.2.4,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tinyexec/-/tinyexec-1.2.4.tgz,true,MIT,false,false
tinyglobby,0.2.17,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tinyglobby/-/tinyglobby-0.2.17.tgz,true,NOT_RECORDED,false,false
tinyrainbow,3.1.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tinyrainbow/-/tinyrainbow-3.1.0.tgz,true,NOT_RECORDED,false,false
tldts,7.4.9,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tldts/-/tldts-7.4.9.tgz,true,MIT,false,false
tldts-core,7.4.9,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tldts-core/-/tldts-core-7.4.9.tgz,true,MIT,false,false
tough-cookie,6.0.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tough-cookie/-/tough-cookie-6.0.2.tgz,true,BSD-3-Clause,false,false
tr46,6.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tr46/-/tr46-6.0.0.tgz,true,MIT,false,false
tslib,2.8.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz,true,0BSD,false,false
typescript,7.0.2,DIRECT_DEVELOPMENT,https://registry.npmjs.org/typescript/-/typescript-7.0.2.tgz,true,Apache-2.0,false,false
undici,7.28.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/undici/-/undici-7.28.0.tgz,true,MIT,false,false
undici-types,8.3.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/undici-types/-/undici-types-8.3.0.tgz,true,MIT,false,false
vite,8.1.4,DIRECT_DEVELOPMENT,https://registry.npmjs.org/vite/-/vite-8.1.4.tgz,true,NOT_RECORDED,false,false
vitest,4.1.10,DIRECT_DEVELOPMENT,https://registry.npmjs.org/vitest/-/vitest-4.1.10.tgz,true,NOT_RECORDED,false,false
