cartapacio_raiz,archivos,profundidad_promedio,tipos_predominantes,funcion_declarada,funcion_observada_provisional,nivel_coherencia_provisional,riesgo_preliminar,decision_humana,fuente_funcion_declarada,base_evidencia,confianza_funcion_declarada,observacion_auditoria,clasificacion_readme_fase_2,estado_readme_declarado,especificidad_funcional,coherencia_provisional,deuda_funcional,accion_siguiente
17_INTERNACIONALIZACION_LOCALIZACION,5,1.8,"Guía (4), Referencia (1)",pendiente_revision_humana,"Guía (4), Referencia (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.,pendiente_lectura_final,pendiente,pendiente,no_evaluable,potencial,leer README raíz y clasificar
18_DOCUMENTACION_ACTIVA,334,2.9,"Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)","Conservar la memoria viva del proyecto: bitácoras, cierres, decisiones, changelog, continuidad, documentación de sesión y transferencia.","Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)",indeterminado,pendiente,pendiente,18_DOCUMENTACION_ACTIVA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
19_IMPLEMENTACION_Y_DESPLIEGUE,12,2.08,"Guía (9), Plan (1), Documento (1), Mapa (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (9), Plan (1), Documento (1), Mapa (1)",indeterminado,pendiente,pendiente,19_IMPLEMENTACION_Y_DESPLIEGUE/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
20_MANTENIMIENTO_Y_EVOLUCION,23,1.96,"Registro de deuda (13), Guía (8), Documento (1), Gate (1)","Conservar deuda, mantenimiento, backlog evolutivo, actualizaciones y seguimiento estructural, técnico y documental.","Registro de deuda (13), Guía (8), Documento (1), Gate (1)",indeterminado,pendiente,pendiente,20_MANTENIMIENTO_Y_EVOLUCION/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
21_WIKI_DOCUMENTACION_HUMANA,32,1.94,"Guía (15), Documento (9), Continuidad (6), Gate (2)","Conservar documentación humana, guías de comprensión, wiki SDD, bitácora del capitán y materiales narrativos.","Guía (15), Documento (9), Continuidad (6), Gate (2)",indeterminado,pendiente,pendiente,21_WIKI_DOCUMENTACION_HUMANA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
99_ARCHIVO_HISTORICO,92,5.0,"Histórico (33), Código (32), Guía (18), Configuración (8), Decisión (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Histórico (33), Código (32), Guía (18), Configuración (8), Decisión (1)",indeterminado,pendiente,pendiente,99_ARCHIVO_HISTORICO/README.md,README raíz genérico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
prompts,1,2.0,Prompt (1),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Prompt (1),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
public,3,3.0,Activo (3),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Activo (3),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
scripts,1,1.0,Auxiliar (1),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Auxiliar (1),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
src,35,1.94,Código (35),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Código (35),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
