cartapacio_raiz,archivos,profundidad_promedio,tipos_predominantes,funcion_declarada,funcion_observada_provisional,nivel_coherencia_provisional,riesgo_preliminar,decision_humana,fuente_funcion_declarada,base_evidencia,confianza_funcion_declarada,observacion_auditoria,clasificacion_readme_fase_2,estado_readme_declarado,especificidad_funcional,coherencia_provisional,deuda_funcional,accion_siguiente,prioridad_revision_humana,tension_principal,dictamen_provisional_B3
15_EVALUACION_CALIDAD_Y_AUDITORIA,16,1.94,"Auditoría (11), Gate (4), Decisión (1)","Conservar auditorías, gates, checks, evidencias de validación y evaluación de calidad, seguridad, IA y sistema.","Auditoría (11), Gate (4), Decisión (1)",indeterminado,pendiente,pendiente,15_EVALUACION_CALIDAD_Y_AUDITORIA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado,P1,Ruta formal de auditorías frente a artefactos del PR ubicados en control maestro.,coherencia_alta_con_conflicto_de_destino
16_SEGURIDAD_PRIVACIDAD_Y_DATOS,13,1.92,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",indeterminado,pendiente,pendiente,16_SEGURIDAD_PRIVACIDAD_Y_DATOS/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior,P2,Existencia estructural sin definición funcional específica.,no_evaluable_por_deuda_funcional
17_INTERNACIONALIZACION_LOCALIZACION,5,1.8,"Guía (4), Referencia (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (4), Referencia (1)",indeterminado,pendiente,pendiente,17_INTERNACIONALIZACION_LOCALIZACION/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior,P2,Existencia estructural sin definición funcional específica.,no_evaluable_por_deuda_funcional
18_DOCUMENTACION_ACTIVA,334,2.9,"Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)","Conservar la memoria viva del proyecto: bitácoras, cierres, decisiones, changelog, continuidad, documentación de sesión y transferencia.","Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)",indeterminado,pendiente,pendiente,18_DOCUMENTACION_ACTIVA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado,P1,Alta concentración y heterogeneidad frente a frontera de memoria viva.,coherencia_parcial_con_riesgo_de_acumulacion
19_IMPLEMENTACION_Y_DESPLIEGUE,12,2.08,"Guía (9), Plan (1), Documento (1), Mapa (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (9), Plan (1), Documento (1), Mapa (1)",indeterminado,pendiente,pendiente,19_IMPLEMENTACION_Y_DESPLIEGUE/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior,P2,Existencia estructural sin definición funcional específica.,no_evaluable_por_deuda_funcional
20_MANTENIMIENTO_Y_EVOLUCION,23,1.96,"Registro de deuda (13), Guía (8), Documento (1), Gate (1)","Conservar deuda, mantenimiento, backlog evolutivo, actualizaciones y seguimiento estructural, técnico y documental.","Registro de deuda (13), Guía (8), Documento (1), Gate (1)",indeterminado,pendiente,pendiente,20_MANTENIMIENTO_Y_EVOLUCION/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado,P2,Debe verificarse convergencia real de deuda activa hacia esta ruta.,coherencia_probable_pendiente_de_trazabilidad
21_WIKI_DOCUMENTACION_HUMANA,32,1.94,"Guía (15), Documento (9), Continuidad (6), Gate (2)","Conservar documentación humana, guías de comprensión, wiki SDD, bitácora del capitán y materiales narrativos.","Guía (15), Documento (9), Continuidad (6), Gate (2)",indeterminado,pendiente,pendiente,21_WIKI_DOCUMENTACION_HUMANA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado,P2,Contraste entre función declarada y contenido observado pendiente.,coherencia_pendiente_de_validacion
99_ARCHIVO_HISTORICO,92,5.0,"Histórico (33), Código (32), Guía (18), Configuración (8), Decisión (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Histórico (33), Código (32), Guía (18), Configuración (8), Decisión (1)",indeterminado,pendiente,pendiente,99_ARCHIVO_HISTORICO/README.md,README raíz genérico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior,P1,Función histórica observada con README genérico y no activado.,funcion_observada_fuerte_definicion_formal_insuficiente
prompts,1,2.0,Prompt (1),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Prompt (1),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados,P2,Requiere criterios técnicos separados.,fuera_de_alcance_documental_directo
public,3,3.0,Activo (3),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Activo (3),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados,P2,Requiere criterios técnicos separados.,fuera_de_alcance_documental_directo
scripts,1,1.0,Auxiliar (1),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Auxiliar (1),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados,P2,Requiere criterios técnicos separados.,fuera_de_alcance_documental_directo
src,35,1.94,Código (35),Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,Código (35),indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados,P2,Requiere criterios técnicos separados.,fuera_de_alcance_documental_directo
